run_id,timestamp,machine_name,machine_model,git_branch,git_sha,git_state,worktree_fingerprint,metric,terminal_host,workspace_scope,sample_count,avg_ms,min_ms,max_ms,samples_ms
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,ghostty,primary,1,134.0,134,134,134
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,ghostty,secondary,1,134.0,134,134,134
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,ghostty,single,1,128.0,128,128,128
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,iterm2,primary,1,249.0,249,249,249
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,iterm2,secondary,1,249.0,249,249,249
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,iterm2,single,1,137.0,137,137,137
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,browser_untracked_tab.cli_window_focus.browser_tracked_tab,ghostty,single,1,148.0,148,148,148
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,browser_untracked_tab.cli_window_focus.browser_tracked_tab,iterm2,single,1,237.0,237,237,237
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,external_app.keyboard_toggle_main_window.main_window,ghostty,single,5,132.2,117,155,"131,121,137,117,155"
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,external_app.keyboard_toggle_main_window.main_window,iterm2,single,5,134.6,116,152,"116,127,148,130,152"
